Name,N,h,d,reg_param,rho_r,phi_c,theta,eta_f,a,phi_rcp,phi_rlp,t_step,creep_type,S0
Rauter_2_6_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,2.6,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_2_7_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,2.7,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_2_8_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,2.8,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_2_9_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,2.9,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_3_1_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,3.1,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_3_2_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,3.2,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_3_3_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,3.3,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_3_4_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,3.4,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_3_6_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,3.6,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_3_7_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,3.7,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_3_8_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,3.8,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_3_9_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,3.9,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_4_1_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,4.1,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_4_2_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,4.2,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_4_3_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,4.3,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_4_4_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,4.4,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_4_6_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,4.6,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_4_7_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,4.7,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_4_8_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,4.8,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_4_9_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,4.9,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
