Name,sim_type,N,h,d,reg_param,rho_r,alpha,phi_c,theta,eta_f,t_step
Ive_comp_7_7_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,7.7,3.99732836365627e-05,1
Ive_comp_7_8_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,7.8,3.99732836365627e-05,1
Ive_comp_7_9_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,7.9,3.99732836365627e-05,1
Ive_comp_8_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,8,3.99732836365627e-05,1
Ive_comp_8_1_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,8.1,3.99732836365627e-05,1
Ive_comp_8_2_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,8.2,3.99732836365627e-05,1
Ive_comp_8_3_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,8.3,3.99732836365627e-05,1
Ive_comp_8_4_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,8.4,3.99732836365627e-05,1
Ive_comp_8_5_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,8.5,3.99732836365627e-05,1
Ive_comp_8_6_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,8.6,3.99732836365627e-05,1
Ive_comp_8_7_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,8.7,3.99732836365627e-05,1
Ive_comp_8_8_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,8.8,3.99732836365627e-05,1
Ive_comp_8_9_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,8.9,3.99732836365627e-05,1
Ive_comp_9_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,9,3.99732836365627e-05,1
Ive_comp_4_deep_9_2_start_early.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,10
Ive_comp_4_deep_9_1_start_early.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,10
Ive_comp_4_deep_9_start_early.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,10
Ive_comp_4_deep_9_5_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_9_4_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_9_3_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_9_2_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_9_1_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_9_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_10_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_11_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,10
Ive_comp_4_deep_12_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,10
Ive_comp_5_deep_custom_time.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,5,3.99732836365627e-05,1
Ive_comp_5_deep_da_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_12_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,12,3.99732836365627e-05,1
Ive_10_dense_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,10,3.99732836365627e-05,1
Ive_comp_5_deep_vary_angle.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,5,3.99732836365627e-05,1
Ive_comp_13_deep_custom_time.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,13,3.99732836365627e-05,1
Ive_comp_5_deep_custom_time_IC.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,5,3.99732836365627e-05,1
Ive_comp_10_1_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,10.1,3.99732836365627e-05,1
Ive_comp_10_2_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,10.2,3.99732836365627e-05,1
Ive_comp_10_3_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,10.3,3.99732836365627e-05,1
Ive_comp_10_4_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,10.4,3.99732836365627e-05,1
Ive_comp_10_5_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,10.5,3.99732836365627e-05,1
